system:index,Algae_Tao,Dien_Tich_Nuoc_km2,NDTI_DoDuc,Nam,Thang,Tinh,.geo
0_1_000000000000000000d8,-0.21150635503895637,332.26536361237754,-0.2521953780567534,2020,2.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000d9,-0.21470982883571055,80.46245235465688,-0.23167662506511655,2020,2.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000da,0.16011268898022527,146.8526010106005,-0.09155272827613142,2020,2.0,Ha Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000db,0.02504320198081036,92.71485399227942,-0.03333378436574333,2020,2.0,Ha Noi City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000dc,0.0849050609779156,558.9896207117039,-0.026151306846634064,2020,2.0,Ha Tay,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000dd,0.0846339924252596,239.33102615386025,-0.1272266112123646,2020,2.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000de,0.13166065495420048,167.10065141838237,-0.14307173401762197,2020,2.0,Hoa Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000df,-0.15237708254615856,53.761140748039224,-0.37776274852307423,2020,2.0,Kon Tum,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e0,0.15455922975608244,308.9594576594975,-0.11521767529798171,2020,2.0,Nghe An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e1,0.07262406428317299,179.27839924852938,-0.015528679300880673,2020,2.0,Ninh Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e2,-0.09945236107053047,42.284539361213255,-0.05524939049394984,2020,2.0,Ninh Thuan,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e3,-0.17336973741064354,167.28060978903187,0.022339930204086755,2020,2.0,Soc Trang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e4,-0.2261103896673253,143.29342884693628,-0.005090544254175526,2020,2.0,Tra Vinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e5,0.15012615179748565,144.1385674387868,-0.10339949210544137,2020,2.0,Tuyen Quang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e6,-0.3001916187197618,74.1893946714461,-0.06958216923856829,2020,2.0,Vinh Long,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e7,0.04808989889000457,226.26012326703432,-0.1348017309764457,2020,2.0,Yen Bai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e8,0.20001697677999172,176.88897668014712,-0.04021810732317046,2020,2.0,Bac Kan,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000e9,0.1308163135866502,149.22942980232847,-0.0526017987687467,2020,2.0,Bac Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000ea,0.0014444199335239911,237.69601330257348,0.04231305310575697,2020,2.0,Bac Lieu,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000eb,0.05204119227635955,226.7104797813113,-0.0035935938056041636,2020,2.0,Bac Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000ec,-0.16320147766271514,36.76181473633578,-0.19796816450547813,2020,2.0,Binh Duong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000ed,-0.16095129358581883,92.90074482371324,-0.2803879447594265,2020,2.0,Binh Phuoc,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000ee,0.052058626435620606,458.9277003033088,-0.02121414907681306,2020,2.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000ef,-0.027760365924573264,6.390087807107844,-0.2062035259066904,2020,2.0,Da Nang City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f0,0.08252129270243896,171.3132242189951,-0.033224930590585545,2020,2.0,Ha Nam,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f1,0.100593855852333,215.4711556282476,-0.022150199611090274,2020,2.0,Hai Duong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f2,0.08030206629344543,179.9120762174019,0.00900742518974868,2020,2.0,Hung Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f3,0.0609147994359873,218.474595256495,-0.005049069529921556,2020,2.0,Nam Dinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f4,0.10044212521554993,137.4829400934436,-0.06514406122646837,2020,2.0,Phu Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f5,-0.009207305118609305,95.41933816838235,-0.21508481033942217,2020,2.0,Quang Nam,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f6,0.08294066251062553,44.433464482414216,-0.1051056305891485,2020,2.0,Thai Nguyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f7,0.08056904733731089,84.86030866850489,-0.01108928004726148,2020,2.0,Vinh Phuc,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f8,-0.296681054059175,36.716860721691184,-0.0883892488978134,2020,2.0,Can Tho city,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000f9,-0.23341762132188798,64.89957015680147,-0.19580219398052076,2020,2.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000fa,-0.1351691226708601,34.50972138768383,-0.33668095601354625,2020,2.0,Dak Nong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000fb,0.16631934379996477,58.29692647169118,-0.08455616727405399,2020,2.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000fc,-0.3752938228954102,7.945368279718138,-0.05374888161224519,2020,2.0,Hau Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000fd,0.14639462200480044,238.70123028848036,-0.0828071055892902,2020,2.0,Lai Chau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000fe,0.11597683563243678,174.93777148425247,-0.08167289139741743,2020,2.0,Lao Cai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000bf,-0.3428838397123584,67.98210008995096,-0.1273504508448768,2020,2.0,An Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c0,-0.23280820009006364,219.03222905036762,-0.023053087882620914,2020,2.0,Ben Tre,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c1,-0.31411970697475433,138.79038555128676,-0.12102198102000533,2020,2.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c2,0.09395977923039364,232.59096243229186,-0.03933756757692469,2020,2.0,Hai Phong City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c3,-0.1356310005936716,145.07923374050247,-0.04337348217065961,2020,2.0,Ho Chi Minh City,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c4,0.026618961467239383,199.58616660349261,-0.06017232905259395,2020,2.0,Kien Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c5,-0.14102914909153677,46.72368611727941,-0.29805508213712506,2020,2.0,Lam Dong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c6,-0.21171164134737797,36.04899476164216,-0.012584765306793345,2020,2.0,Long An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c7,0.13789456310383322,437.93658399969337,-0.10672352770557092,2020,2.0,Quang Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c8,0.02466197707157654,169.87334952677696,-0.1442677570840977,2020,2.0,Son La,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000c9,-0.25832355987347816,122.87169635508579,-0.21383097031569762,2020,2.0,Tay Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000ca,0.12662182930459975,332.4312998425858,0.012179354674938367,2020,2.0,Thai Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000cb,0.12280936872019697,236.99427517536756,-0.09038909410640993,2020,2.0,Thanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_000000000000000000cc,-0.28428158290979416,110.82609224509808,-0.004413584594791991,2020,2.0,Tien Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
