system:index,Algae_Tao,Dien_Tich_Nuoc_km2,NDTI_DoDuc,Nam,Thang,Tinh,.geo
0_4_1,0.006664460331235236,10.452763849938725,-0.09901069322142021,2020,5.0,Bac Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,-0.031692145309058985,870.3637706507351,-0.04751805713873692,2020,5.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,-0.1658575200089737,202.8401154417279,-0.0421077950930426,2020,5.0,Can Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,0.14827351331237762,1.1902282884191178,-0.04834449899261722,2020,5.0,Cao Bang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,-0.13372010332705525,70.48569071899506,-0.21088867044313822,2020,5.0,Da Nang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,-0.10840273932897636,108.63413452879905,-0.12469843544920553,2020,5.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,-0.05330125886579862,8.552859080147064,-0.18828119082323785,2020,5.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,-0.0951700983152541,340.06394360661767,-0.1637804642832431,2020,5.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,-0.11284931590024809,249.17004837837015,-0.09014013759939758,2020,5.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_10,-0.1115379447163534,134.21884654546568,-0.12195515859360585,2020,5.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_11,0.01309154654146595,54.62565243676471,-0.06987504976684669,2020,5.0,Ha Noi,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_12,-0.050249950315223606,70.54895945404412,-0.1964339320710908,2020,5.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_13,-0.030894743564289267,53.110869851654414,-0.05085949537213524,2020,5.0,Hai Phong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_14,-0.04543915103635088,319.8439675105392,-0.11748305903292679,2020,5.0,Ho Chi Minh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_15,-0.05414083705304443,26.152372053799013,-0.05521961711909563,2020,5.0,Hung Yen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_16,-0.08362760659132955,41.192484061642155,-0.06594943628959211,2020,5.0,Khanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_17,-0.030504605105846804,31.68876351090686,-0.20295574113144177,2020,5.0,Lai Chau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_18,-0.06002681950611763,103.69968815465685,-0.16559627351325423,2020,5.0,Lam Dong,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_19,0.17545012777878177,2.07787175,-0.09039524611499575,2020,5.0,Lang Son,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_20,-0.00871506635125989,73.9705915707108,-0.15519844025280835,2020,5.0,Lao Cai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_21,0.043943441838976534,81.00810524215686,-0.1301675938822373,2020,5.0,Nghe An,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_22,0.02024918957006028,52.06316638946082,-0.05070556011310755,2020,5.0,Ninh Binh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_23,-0.07535923635134935,94.08791266740197,-0.12113649038578944,2020,5.0,Phu Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_24,-0.09669562906458229,61.980454133394616,-0.1794669367296642,2020,5.0,Quang Ngai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_25,-0.036207814193979476,102.98627142083333,-0.07382703382113441,2020,5.0,Quang Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_26,-0.04080113503507104,55.63796982947305,-0.1345078648788048,2020,5.0,Quang Tri,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_27,-0.08101144446712502,93.74604737242647,-0.1835021933315196,2020,5.0,Son La,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_28,-0.07966697344092086,143.83882680177697,-0.10249912420813329,2020,5.0,Tay Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_29,-0.10242285681289025,8.36562000612745,-0.09367685378076145,2020,5.0,Thai Nguyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_30,0.039970034245219124,32.99562077248774,-0.1298371465722363,2020,5.0,Thanh Hoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_31,-0.040762272575420186,33.08886827254902,-0.20415472356659586,2020,5.0,Thua Thien Hue,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_32,0.007006802615744177,26.266464356433822,-0.09242186314894076,2020,5.0,Tuyen Quang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_33,-0.21100321855363957,399.8288691512255,-0.06323749602793968,2020,5.0,Vinh Long,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,0.007022756660422798,164.10053348351715,-0.07039387070733356,2020,6.0,An Giang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,0.05772661485538535,26.953111519485294,-0.043732093988230594,2020,6.0,Bac Ninh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,0.037260897176032516,387.66337186219357,-0.05297828334542018,2020,6.0,Ca Mau,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,-0.05064250416676579,92.16660600490196,-0.061160189559306424,2020,6.0,Can Tho,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,0.07593530517381926,4.131270140625,-0.04491944585202469,2020,6.0,Cao Bang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,-0.17210322150939053,70.86570269540438,-0.263658495985769,2020,6.0,Da Nang,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,-0.12998382155060376,141.15658645196086,-0.10174879289512377,2020,6.0,Dak Lak,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,0.021124388506074267,59.76097669240196,-0.052216072029477874,2020,6.0,Dien Bien,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,-0.22977414510303978,331.7129180235908,-0.18629932897890336,2020,6.0,Dong Nai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_9,-0.1869052379677858,234.8239017514707,-0.10994026534537964,2020,6.0,Dong Thap,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_10,-0.15826611231903673,145.97646418161764,-0.14047931420413817,2020,6.0,Gia Lai,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_11,0.05730952393848902,171.40742181219372,-0.01207301530595951,2020,6.0,Ha Noi,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_12,-0.1533606904589525,56.486549278492646,-0.183724551111914,2020,6.0,Ha Tinh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_13,0.01778321232684333,77.58222928088239,-0.015724000019257875,2020,6.0,Hai Phong,"{""type"":""MultiPoint"",""coordinates"":[]}"
